Open,High,Low,Close,Volume
3103.32,3136.999,3092.926,3094.411,78361862
3094.848,3107.198,3001.956,3019.394,93507092
3020.54,3028.647,2972.627,2986.607,76552214
2985.214,3006.039,2963.891,2994.143,73365767
2979.743,3024.848,2968.453,2989.292,80475875
2981.374,2981.374,2912.887,2941.36,88147114
2955.753,2990.748,2930.559,2934.713,82485789
2945.034,3005.131,2890.021,3003.835,101022537
2983.05,3015.126,2968.68,2995.308,99918364
2936.197,2959.233,2918.909,2939.402,97274989
2936.452,2954.266,2922.187,2935.174,63299582
2932.09,2957.474,2929.21,2948.842,62282207
2967.138,2983.179,2958.217,2982.5,55588005
2985.082,3001.636,2976.079,2985.499,56646305
2996.088,3018.858,2993.437,3018.133,56092124
3016.703,3026.659,3002.811,3003.398,68505143
2998.907,2998.907,2938.753,2982.575,80392858
2964.984,3023.739,2955.069,3022.177,92918962
3026.656,3063.004,3022.373,3060.618,119670781
3053.498,3067.525,3041.689,3051.943,101296291
3057.006,3093.095,3054.554,3087.842,111038878
3089.706,3095.992,3060.956,3073.108,105327647
3074.099,3098.456,3061.467,3097.005,117156519
3098.069,3102.398,3016.215,3023.373,126383889
3026.639,3044.165,3011.088,3031.065,92259665
3036.415,3058.832,3030.905,3053.232,81011950
3053.26,3084.85,3028.69,3069.141,92381803
3067.15,3085.994,3034.739,3048.927,84612953
3050.644,3070.935,3025.309,3051.282,79872195
3051.474,3057.519,3011.972,3013.412,71418912
3010.722,3013.517,2963.494,2976.939,63749768
2974.487,2993.843,2963.438,2992.841,59627991
2999.815,3050.757,2994.893,3050.479,87085699
3053.158,3063.586,3035.019,3046.089,91379124
